Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,8.350000,8.800000,7.550000,7.950000,7.837234,196633609
2021-05-01,7.900000,11.850000,7.800000,10.400000,10.252481,1028905358
2021-06-01,10.450000,13.950000,9.950000,13.150000,12.963474,1161784235
2021-07-01,13.250000,13.300000,10.650000,10.750000,10.597518,371446745
2021-08-01,10.850000,11.000000,9.000000,9.850000,9.710284,217784794
2021-09-01,9.900000,11.100000,9.800000,10.200000,10.055319,282412618
2021-10-01,10.150000,11.250000,9.150000,9.350000,9.217376,414046655
2021-11-01,9.450000,9.600000,8.250000,8.700000,8.576595,117063104
2021-12-01,8.700000,9.700000,8.600000,8.850000,8.724468,151686854
2022-01-01,8.900000,9.600000,8.550000,8.950000,8.823050,198631456
2022-02-01,9.050000,9.050000,7.650000,8.100000,7.985106,116367206
2022-03-01,8.100000,8.350000,7.450000,7.500000,7.393617,132303917
2022-04-01,7.550000,9.100000,7.500000,7.950000,7.837234,133498526
2022-05-01,8.000000,8.550000,7.600000,8.000000,7.886525,112976394
2022-06-01,8.000000,8.200000,7.250000,7.600000,7.492198,61031752
2022-07-01,7.650000,8.200000,7.550000,7.850000,7.738652,79683637
2022-08-01,7.950000,8.700000,7.800000,8.200000,8.083688,252372317
2022-09-01,8.150000,10.800000,8.100000,9.500000,9.365248,804103852
2022-10-01,9.500000,14.150000,9.200000,13.700000,13.505673,935623938
2022-11-01,13.750000,18.100000,13.400000,16.850000,16.610992,1186128983
2022-12-01,17.049999,21.799999,15.300000,18.799999,18.533333,1499807908
2023-01-01,18.799999,21.200001,16.250000,18.000000,17.744680,831583178
2023-02-01,18.049999,18.700001,16.200001,16.750000,16.512411,255418238
2023-03-01,16.799999,19.150000,13.750000,14.650000,14.442198,598936940
2023-04-01,14.750000,16.900000,14.700000,16.450001,16.216667,416872531
2023-05-01,16.450001,18.200001,15.950000,17.250000,17.005320,578996270
2023-06-01,17.549999,19.600000,17.500000,19.299999,19.026239,656955266
2023-07-01,19.500000,23.700001,19.500000,19.549999,19.272694,1365395499
2023-08-01,19.700001,25.350000,19.500000,23.250000,22.920212,1209632039
2023-09-01,23.350000,27.500000,22.250000,27.150000,27.150000,1285454724
2023-10-01,27.150000,27.600000,23.049999,24.250000,24.250000,753086580
2023-11-01,24.250000,26.150000,23.100000,24.950001,24.950001,277848026
2023-11-17,25.100000,25.299999,24.750000,24.950001,24.950001,21500330
